st_date,year,state,city,cases,lat,lon
09-04-2010 00:00,2010,Kerala,Kottayam,66,9.4449027,76.9340573
13-06-2011 00:00,2011,Karnataka,Bidar,34,17.899763,77.459849
06-05-2011 00:00,2011,Kerala,Kottayam,3,9.4880441,76.720681
07-06-2012 00:00,2012,Karnataka,Tumkur,70,13.9818222,76.9571046
12-06-2012 00:00,2012,Karnataka,Bijapur,15,16.9308982,75.3834811
13-06-2012 00:00,2012,Kerala,Kollam,26,8.9300191,76.9064744
07-06-2012 00:00,2012,Maharashtra,Raigad,29,19.0124815,73.1600377
09-06-2012 00:00,2012,Tamil Nadu,Tiruchirapalli,15,10.6045307,78.4169625
14-06-2012 00:00,2012,Tamil Nadu,Tamil Nadu,12,11.1271225,78.6568942
04-06-2012 00:00,2012,Karnataka,Bellary,14,14.9247247,76.5302536
29-05-2012 00:00,2012,Tamil Nadu,Salem,11,11.5854196,78.075822
29-05-2012 00:00,2012,Tamil Nadu,Salem,14,11.5867369,78.7582748
11-06-2013 00:00,2013,Madhya Pradesh,Mandla,195,22.4770863,80.3686488
13-06-2013 00:00,2013,Maharashtra,Dhule,35,21.2160765,75.0392106
27-05-2013 00:00,2013,karnataka,Mysore,11,12.4474814,76.3487124
04-06-2013 00:00,2013,karnataka,Mysore,10,12.4358402,76.9153281
12-06-2014 00:00,2014,Maharashtra,Akola,29,20.6592284,76.7965531
07-06-2015 00:00,2015,Tamil Nadu,Salem,15,10.07354,78.773198
25-05-2015 00:00,2015,karnataka,Tumkur,12,13.5097878,76.5676071
22-05-2015 00:00,2015,Karnataka,Kolar,66,13.4296776,78.354355
02-04-2015 00:00,2015,Kerala,Idukki,16,9.8363826,76.8566728
01-06-2015 00:00,2015,Kerala,Kasaragod,33,12.571051,75.1107052
09-04-2010 00:00,2010,Kerala,Kottayam,68,9.4449027,76.9340573
08-06-2013 00:00,2013,Maharashtra,Sangli,38,17.2636096,74.7176121
10-06-2013 00:00,2013,Tamil Nadu,Theni,63,10.0079322,77.4735441
29-05-2014 00:00,2014,Karnataka,Kolar,15,13.2740518,75.4825348
18-06-2015 00:00,2015,Tamil Nadu,Virudhunagar  Sivakasi,47,9.4154054,77.6030016
16-05-2015 00:00,2015,Kerala,Iduukki,11,9.9397034,76.9354979
29-05-2015 00:00,2015,karnataka,Tumkur,35,13.5563196,76.8807437
08-06-2015 00:00,2015,karnataka,Kolar,27,12.9552519,78.3479883
09-06-2015 00:00,2015,karnataka,Bangalore Urban,16,12.8935929,77.8220758
08-06-2015 00:00,2015,Tamil Nadu,Thiruchirapalli,11,13.217176,79.1003289
20-06-2012 00:00,2012,Maharashtra,Raigad,11,19.0437385,73.1751564
20-06-2012 00:00,2012,Tamil Nadu,Pudukottai,15,10.2565565,78.8863541
18-06-2012 00:00,2012,Maharashtra,Thane,11,19.2305361,73.0865304
28-06-2013 00:00,2013,karnataka,Kolar,42,13.2774525,78.2477963
17-06-2013 00:00,2013,karnataka,Mysore,11,12.4025539,75.9811564
11-06-2013 00:00,2013,Kerala,Kollam,15,8.8123488,76.7588672
19-06-2014 00:00,2014,karnataka,Udupi,10,13.4253655,74.757167
23-06-2014 00:00,2014,Lakshadweep,Lakshwadeep,14,10.56507,72.6417265
18-06-2014 00:00,2014,Maharashtra,Beed,21,19.249517,76.0123529
12-06-2014 00:00,2014,karnataka,Tumkur,20,13.2152007,77.1896731
23-06-2015 00:00,2015,Tamil Nadu,Virudhunagar  Sivakasi,13,9.4158228,77.9203165
08-06-2015 00:00,2015,Arunachal Pradesh,East Siang,68,28.0631741,95.3239197
08-06-2015 00:00,2015,karnataka,Kolar,53,12.9287721,77.886746
02-06-2015 00:00,2015,karnataka,Udupi,176,13.6235274,74.6917418
15-05-2015 00:00,2015,Kerala,Ernakulam,14,10.0644787,76.405687
07-07-2011 00:00,2011,Tamil Nadu,Salem,8,11.7991611,77.8444222
01-07-2011 00:00,2011,West Bengal,Bankura,12,22.6447915,87.0386909
28-05-2012 00:00,2012,Maharashtra,Bhandara,69,20.7451372,79.804459
15-06-2012 00:00,2012,Tamil Nadu,Salem,16,11.3991086,78.7873337
30-06-2014 00:00,2014,Lakshadweep,Kavarati Island,19,10.56507,72.6417265
01-07-2015 00:00,2015,Tamil Nadu,Tiruvannamalai,8,12.3293751,79.1788374
02-07-2015 00:00,2015,Tamil Nadu,Kancheepuram,9,12.8435004,79.7056304
04-07-2015 00:00,2015,Tamil Nadu,Krishnagiri,8,12.4739038,78.3330254
26-03-2015 00:00,2015,Kerala,Ernakulam,18,10.2218391,76.4071336
16-06-2015 00:00,2015,Kerala,Ernakulam,18,9.8489141,76.4544209
19-05-2015 00:00,2015,Kerala,Malappuram,15,11.1955096,76.2360376
17-07-2011 00:00,2011,Haryana,Gurgaon,2,28.4244831,76.9355804
14-07-2011 00:00,2011,Karnataka,Dakshin Kannada,2,13.0507946,74.7972185
25-06-2011 00:00,2011,Kerala,Kottayam,3,9.5863736,76.5154798
28-06-2011 00:00,2011,Kerala,Ernakulum,3,10.0186118,76.223288
11-07-2012 00:00,2012,Andhra Pradesh,Mahabubnagar,35,17.1233968,78.1778185
06-07-2012 00:00,2012,Karnataka,Belgaum,13,16.4041668,74.3786387
05-07-2013 00:00,2013,West Bengal,North 24 Parganas,42,22.6846668,88.3706491
24-06-2013 00:00,2013,Kerala,Palakkad,16,10.6388239,76.6557102
27-06-2013 00:00,2013,West Bengal,Burdwan,173,23.5875417,87.1999198
08-07-2014 00:00,2014,Karnataka,Gadag,39,16.3942115,75.1085405
06-07-2014 00:00,2014,Karnataka,Chikkaballapur,54,13.4337533,77.7309633
05-07-2014 00:00,2014,Karnataka,Tumkur,18,13.1550986,76.8913722
13-07-2014 00:00,2014,Tamil nadu,Thiruvannamalai,12,12.3584463,78.7667478
30-06-2014 00:00,2014,Lakshadweep,Kavaratti Island,29,12.2252841,79.0746957
07-07-2015 00:00,2015,Tamil Nadu,Tiruvannamalai,118,12.4465957,79.0609425
04-05-2015 00:00,2015,Kerala,Kozhikode,24,11.1839529,75.8437724
19-06-2015 00:00,2015,Kerala,Palakkad,42,11.0586827,76.35794
09-07-2010 00:00,2010,Karnataka,Chirtadurga,212,13.8036055,76.6510177
01-07-2011 00:00,2011,West Bengal,Bankura,12,22.7623787,87.0243171
16-07-2012 00:00,2012,Andhra Pradesh,Mahabubnagar,71,16.4881028,78.7426613
11-07-2012 00:00,2012,Karnataka,Tumkur,30,13.5535903,77.0901309
18-07-2012 00:00,2012,Tamil Nadu,Ramanathapuram,22,9.2110489,78.7144187
12-07-2013 00:00,2013,Karnataka,Chamarajanagar,30,11.8567155,76.5661622
28-06-2013 00:00,2013,Kerala,Palakkad,18,10.6772528,76.6859968
27-06-2013 00:00,2013,West Bengal,Burdwan,305,23.5875417,87.1999198
17-07-2014 00:00,2014,Maharashtra,Beed,34,18.6778168,75.8370325
04-07-2014 00:00,2014,Karnataka,Tumkur,33,14.2801498,77.1754766
15-07-2015 00:00,2015,Andhra Pradesh,Krishna,140,16.3468095,80.783514
24-07-2010 00:00,2010,Tamil Nadu,Tiruvannamalai,9,12.2163546,79.0598685
20-07-2012 00:00,2012,Tamil Nadu,Thoothukudi,17,8.7641661,78.1348361
30-06-2013 00:00,2013,Maharashtra,Aurangabad,21,19.8441434,75.2347796
09-07-2013 00:00,2013,Maharashtra,Beed,24,18.8959224,75.0836188
27-06-2013 00:00,2013,West Bengal,Burdwan,372,23.5875417,87.1999198
16-07-2014 00:00,2014,Karnatak,Tumkur,22,13.3366883,77.0985705
17-07-2014 00:00,2014,Maharashtra,Beed,34,18.6753518,75.8366908
14-07-2014 00:00,2014,Maharashtra,Sangli,7,17.2636096,74.7176121
16-07-2014 00:00,2014,Tamil Nadu,Villupuram,13,11.8380919,78.8920444
13-07-2015 00:00,2015,Karnataka,Kolar,49,13.1666533,78.3940737
29-06-2015 00:00,2015,Kerala,Ernakulam,25,10.1198255,76.5863882
04-06-2015 00:00,2015,Arunachal Pradesh,East Siang,473,28.0631741,95.3239197
21-07-2010 00:00,2010,Orissa,Gajapati,85,19.230014,84.2672409
26-07-2011 00:00,2011,Maharashtra,Nashik,2,20.3367204,74.3044879
04-08-2012 00:00,2012,Tamil Nadu,Cuddalore,15,11.3141542,79.5104577
26-07-2013 00:00,2013,Madhya Pradesh,Khandwa,24,22.1005829,76.5317675
19-07-2013 00:00,2013,Maharashtra,Raigad,50,18.7343461,72.943842
21-07-2014 00:00,2014,Karnataka,Bellary,31,14.622223,76.5305713
31-07-2014 00:00,2014,Karnataka,Tumkur,18,13.5832741,76.5401527
12-07-2014 00:00,2014,Maharashtra,Ahmednagar,10,19.0007497,74.9144104
27-07-2015 00:00,2015,gujarat,Tapi,9,21.2042614,73.6124102
25-07-2015 00:00,2015,talangana,Mahabubnagar,25,16.8837284,78.6746207
30-06-2015 00:00,2015,Kerala,Palakkad,34,11.0113242,76.3492569
04-06-2015 00:00,2015,Arunachal Pradesh,East Siang,690,28.0631741,95.3239197
25-07-2010 00:00,2010,Tamil Nadu,Dindigul,9,10.4079812,78.0395149
27-07-2010 00:00,2010,Tamil Nadu,Namakkal,21,11.1748295,77.4354367
28-07-2010 00:00,2010,Tamil Nadu,Tiruvannamalai,20,12.4917999,79.1096901
28-07-2012 00:00,2012,West Bengal,Nadia,38,23.6884329,86.939827
03-08-2013 00:00,2013,Karnataka,Chitradurga,14,14.2250932,76.3980464
02-08-2013 00:00,2013,Tamil Nadu,Dindigul,28,10.255792,78.1225625
30-07-2013 00:00,2013,Maharashtra,Jalgaon,31,21.0320289,75.0068577
17-07-2013 00:00,2013,Maharashtra,Nagpur,12,21.3782319,78.5472746
07-08-2014 00:00,2014,Maharashtra,Osmanabad,10,18.4995593,76.0301246
01-08-2015 00:00,2015,Telengana,Medak,13,18.2114776,78.7629585
13-07-2015 00:00,2015,Maharashtra,Chandrapur,70,20.6098549,79.8576828
22-07-2015 00:00,2015,Maharashtra,Chandrapur,87,20.1033878,79.6558242
27-07-2015 00:00,2015,Maharashtra,Nagpur,25,21.4530469,78.9535568
04-06-2015 00:00,2015,Arunachal Pradesh,East Siang,982,28.0631741,95.3239197
01-08-2010 00:00,2010,Karnataka,Hassan,17,13.004195,76.139243
02-08-2010 00:00,2010,Karnataka,Gulbarga,31,17.3608114,76.9923875
10-08-2010 00:00,2010,Tamil Nadu,Thiruvarur,22,10.5488795,79.639015
15-08-2011 00:00,2011,Andhra Pradesh,Mahbubnagar,42,16.4300718,78.7426613
12-08-2012 00:00,2012,Tamil Nadu,Salem,30,11.2656914,76.9167906
17-08-2013 00:00,2013,karnataka,Chikkaballapur,15,13.7454205,77.8365613
11-08-2013 00:00,2013,karnataka,Raichur,40,16.216018,77.3565608
15-08-2013 00:00,2013,West Bengal,Burdwan,36,23.6129028,87.1160096
07-08-2014 00:00,2014,Maharashtra,Amravati,25,21.3877346,78.3194985
07-08-2014 00:00,2014,Maharashtra,Beed,15,18.9901224,76.0413667
08-08-2014 00:00,2014,Maharashtra,Nashik,10,20.3068589,74.65459
30-06-2014 00:00,2014,Telangana,Khammam,456,17.6598107,81.0050632
08-08-2015 00:00,2015,Maharashtra,Nashik,10,20.6313869,74.0395596
11-08-2015 00:00,2015,Tamil Nadu,Kancheepuram,33,12.614871,79.7593246
01-07-2015 00:00,2015,Delhi,Delhi,119,28.7040592,77.1024902
29-04-2015 00:00,2015,Karnataka,Chickaballapura,970,13.784605,77.7981834
13-08-2010 00:00,2010,gujarat,Vadodara,35,22.3455197,73.9389213
10-08-2010 00:00,2010,Tamil Nadu,Villupuram,158,11.9768427,79.5392686
21-08-2011 00:00,2011,Chhattisgarh,Raipur,3,21.2537431,81.6206627
22-08-2012 00:00,2012,Tamil Nadu,Ramanathapuram,31,9.342531,78.75258
19-08-2012 00:00,2012,Tamil Nadu,Salem,30,11.3247048,77.8765349
22-08-2012 00:00,2012,Tamil Nadu,Theni,26,11.413049,77.5134807
19-08-2013 00:00,2013,Karnataka,Mysore,14,12.3275888,76.6642106
20-08-2013 00:00,2013,Karnataka,Raichur,20,16.216018,77.3565608
21-08-2013 00:00,2013,Karnataka,Raichur,21,15.858501,76.6928829
16-08-2013 00:00,2013,Maharashtra,Ghadchiroli,13,21.2647395,79.7259658
28-07-2013 00:00,2013,Bihar,"Rohtas, Bhabhua",346,25.1014673,84.121885
13-08-2013 00:00,2013,Maharashtra,Kolhapur,17,16.6114621,74.6184415
01-08-2013 00:00,2013,West Bengal,Jalpaiguri,189,25.837576,90.059631
18-08-2014 00:00,2014,karnataka,Raichur,104,15.7702099,76.7560495
16-08-2014 00:00,2014,Maharashtra,Beed,32,18.35025,75.0972386
